action_time,action_type,actor_id,actor_type,attrs,channel_id,channel_type,object_id,object_type,theme,partition_time,txn_amt,original_currency_code,merchant_category_code,card_type,card_level
3696975741,purchase_consumption,4,customer_id,"""{\""action\"": {\""txn_amt\"": 1173.4403405275684, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""05971\""}, \""channel\"": {\""card_type\"": \""B\"", \""card_level\"": \""5\""}}"",3696969600",GPSHLCABRIQBVOKVCUNK,credit_card,VUAFPKBFAIENYETOLYIX,merchant_nbr,cc_txn,3696969600,1173.440341,TWD,5971,B,5
3696975741,purchase_consumption,29,customer_id,"""{\""action\"": {\""txn_amt\"": 1173.4403405275684, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""05971\""}, \""channel\"": {\""card_type\"": \""B\"", \""card_level\"": \""5\""}}"",3696969600",GPSHLCABRIQBVOKVCUNK,credit_card,VUAFPKBFAIENYETOLYIX,merchant_nbr,cc_txn,3696969600,1173.440341,TWD,5971,B,5
3696975866,purchase_consumption,18,customer_id,"""{\""action\"": {\""txn_amt\"": 177.63228741462754, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""03723\""}, \""channel\"": {\""card_type\"": \""B\"", \""card_level\"": \""3\""}}"",3696969600",GOBOOQKAPKTNJLDLXXDI,credit_card,HJMGNAQEFRZMCIDBHLSR,merchant_nbr,cc_txn,3696969600,177.6322874,TWD,3723,B,3
3696975866,purchase_consumption,43,customer_id,"""{\""action\"": {\""txn_amt\"": 177.63228741462754, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""03723\""}, \""channel\"": {\""card_type\"": \""B\"", \""card_level\"": \""3\""}}"",3696969600",GOBOOQKAPKTNJLDLXXDI,credit_card,HJMGNAQEFRZMCIDBHLSR,merchant_nbr,cc_txn,3696969600,177.6322874,TWD,3723,B,3
3696976193,purchase_consumption,15,customer_id,"""{\""action\"": {\""txn_amt\"": 1031.9586884543096, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""07941\""}, \""channel\"": {\""card_type\"": \""E\"", \""card_level\"": \""5\""}}"",3696969600",WSBGQLGVXQBVEDZRVODM,credit_card,AQPRQWDZXOLHYVJBTWFY,merchant_nbr,cc_txn,3696969600,1031.958688,TWD,7941,E,5
3696976193,purchase_consumption,40,customer_id,"""{\""action\"": {\""txn_amt\"": 1031.9586884543096, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""07941\""}, \""channel\"": {\""card_type\"": \""E\"", \""card_level\"": \""5\""}}"",3696969600",WSBGQLGVXQBVEDZRVODM,credit_card,AQPRQWDZXOLHYVJBTWFY,merchant_nbr,cc_txn,3696969600,1031.958688,TWD,7941,E,5
3696976255,purchase_consumption,9,customer_id,"""{\""action\"": {\""txn_amt\"": 578.138328514272, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""03515\""}, \""channel\"": {\""card_type\"": \""C\"", \""card_level\"": \""3\""}}"",3696969600",ABKNUQRDAVAFFZLSRLPM,credit_card,MPEPDLIZNVLEJTBLMCPI,merchant_nbr,cc_txn,3696969600,578.1383285,TWD,3515,C,3
3696976255,purchase_consumption,34,customer_id,"""{\""action\"": {\""txn_amt\"": 578.138328514272, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""03515\""}, \""channel\"": {\""card_type\"": \""C\"", \""card_level\"": \""3\""}}"",3696969600",ABKNUQRDAVAFFZLSRLPM,credit_card,MPEPDLIZNVLEJTBLMCPI,merchant_nbr,cc_txn,3696969600,578.1383285,TWD,3515,C,3
3696979236,purchase_consumption,19,customer_id,"""{\""action\"": {\""txn_amt\"": 1972.355933390321, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""03811\""}, \""channel\"": {\""card_type\"": \""D\"", \""card_level\"": \""2\""}}"",3696969600",OQZMTRUULVGAPIDMCENC,credit_card,VPKWUKNPERZPOINTZVPH,merchant_nbr,cc_txn,3696969600,1972.355933,TWD,3811,D,2
3696979236,purchase_consumption,44,customer_id,"""{\""action\"": {\""txn_amt\"": 1972.355933390321, \""original_currency_code\"": \""TWD\""}, \""object\"": {\""merchant_category_code\"": \""03811\""}, \""channel\"": {\""card_type\"": \""D\"", \""card_level\"": \""2\""}}"",3696969600",OQZMTRUULVGAPIDMCENC,credit_card,VPKWUKNPERZPOINTZVPH,merchant_nbr,cc_txn,3696969600,1972.355933,TWD,3811,D,2
