action_time,action_type,actor_id,actor_type,attrs,channel_id,channel_type,object_id,object_type,theme,partition_time,call_nbr,type_desc,detail_desc,business_desc
3696974030,inbound,2,customer_id,"""{\""action\"": {\""call_nbr\"": \""KEZSKOKKZADUAAGWJNVQ\""}, \""object\"": {\""type_desc\"": \""19\"", \""detail_desc\"": \""162\"", \""business_desc\"": \""2\""}}"",3696969600",personal_phone_service,customer_service,2_19_162,call_purpose,cti,3696969600,KEZSKOKKZADUAAGWJNVQ,19,162,2
3696974030,inbound,27,customer_id,"""{\""action\"": {\""call_nbr\"": \""KEZSKOKKZADUAAGWJNVQ\""}, \""object\"": {\""type_desc\"": \""19\"", \""detail_desc\"": \""162\"", \""business_desc\"": \""2\""}}"",3696969600",personal_phone_service,customer_service,2_19_162,call_purpose,cti,3696969600,KEZSKOKKZADUAAGWJNVQ,19,162,2
3696978134,inbound,5,customer_id,"""{\""action\"": {\""call_nbr\"": \""FEVYBZKGBYDSESTGNELD\""}, \""object\"": {\""type_desc\"": \""18\"", \""detail_desc\"": \""224\"", \""business_desc\"": \""1\""}}"",3696969600",personal_phone_service,customer_service,1_18_224,call_purpose,cti,3696969600,FEVYBZKGBYDSESTGNELD,18,224,1
3696978134,inbound,30,customer_id,"""{\""action\"": {\""call_nbr\"": \""FEVYBZKGBYDSESTGNELD\""}, \""object\"": {\""type_desc\"": \""18\"", \""detail_desc\"": \""224\"", \""business_desc\"": \""1\""}}"",3696969600",personal_phone_service,customer_service,1_18_224,call_purpose,cti,3696969600,FEVYBZKGBYDSESTGNELD,18,224,1
3696987105,inbound,5,customer_id,"""{\""action\"": {\""call_nbr\"": \""MGKNBXMZZZQGUYWERCMF\""}, \""object\"": {\""type_desc\"": \""2\"", \""detail_desc\"": \""167\"", \""business_desc\"": \""0\""}}"",3696969600",personal_phone_service,customer_service,0_2_167,call_purpose,cti,3696969600,MGKNBXMZZZQGUYWERCMF,2,167,0
3696987105,inbound,30,customer_id,"""{\""action\"": {\""call_nbr\"": \""MGKNBXMZZZQGUYWERCMF\""}, \""object\"": {\""type_desc\"": \""2\"", \""detail_desc\"": \""167\"", \""business_desc\"": \""0\""}}"",3696969600",personal_phone_service,customer_service,0_2_167,call_purpose,cti,3696969600,MGKNBXMZZZQGUYWERCMF,2,167,0
3696991853,inbound,12,customer_id,"""{\""action\"": {\""call_nbr\"": \""AAEASDZRLIUWRNSVHMSK\""}, \""object\"": {\""type_desc\"": \""19\"", \""detail_desc\"": \""85\"", \""business_desc\"": \""2\""}}"",3696969600",personal_phone_service,customer_service,2_19_85,call_purpose,cti,3696969600,AAEASDZRLIUWRNSVHMSK,19,85,2
3696991853,inbound,37,customer_id,"""{\""action\"": {\""call_nbr\"": \""AAEASDZRLIUWRNSVHMSK\""}, \""object\"": {\""type_desc\"": \""19\"", \""detail_desc\"": \""85\"", \""business_desc\"": \""2\""}}"",3696969600",personal_phone_service,customer_service,2_19_85,call_purpose,cti,3696969600,AAEASDZRLIUWRNSVHMSK,19,85,2
3696993942,inbound,15,customer_id,"""{\""action\"": {\""call_nbr\"": \""RIWAJWRVBNCTWCNPZTHS\""}, \""object\"": {\""type_desc\"": \""1\"", \""detail_desc\"": \""9\"", \""business_desc\"": \""2\""}}"",3696969600",personal_phone_service,customer_service,2_1_9,call_purpose,cti,3696969600,RIWAJWRVBNCTWCNPZTHS,1,9,2
3696993942,inbound,40,customer_id,"""{\""action\"": {\""call_nbr\"": \""RIWAJWRVBNCTWCNPZTHS\""}, \""object\"": {\""type_desc\"": \""1\"", \""detail_desc\"": \""9\"", \""business_desc\"": \""2\""}}"",3696969600",personal_phone_service,customer_service,2_1_9,call_purpose,cti,3696969600,RIWAJWRVBNCTWCNPZTHS,1,9,2
